Ma_so,Ten_san_pham,Gia,Mo_ta,Hinh_anh,Danh_muc
17,Cookies & Cream,49000,"Một thức uống ngon lạ miệng bởi sự kết hợp hoàn hảo giữa cookies sô cô la giòn xốp cùng hỗn hợp sữa tươi cùng sữa đặc đem say với đá viên, và cuối cùng không thể thiếu được chính là lớp kem whip mềm mịn cùng cookies sô cô la say nhuyễn.",cookies-cream.png,1
18,Freeze Sô-cô-la,49000,"Thiên đường đá xay sô cô la! Từ những thanh sô cô la Việt Nam chất lượng được đem xay với đá cho đến khi mềm mịn, sau đó thêm vào thạch sô cô la dai giòn, ở trên được phủ một lớp kem whip beo béo và sốt sô cô la ngọt ngào. Tạo thành Freeze Sô-cô-la ngon mê mẩn chinh phục bất kì ai!",freeze-socola.png,1
19,Trà Sen Vàng,39000,"Thức uống chinh phục những thực khách khó tính! Sự kết hợp độc đáo giữa trà Ô long, hạt sen thơm bùi và củ năng giòn tan. Thêm vào chút sữa sẽ để vị thêm ngọt ngào.",tra-sen-vang.png,3
20,Trà Thạch Vải,39000,"Một sự kết hợp thú vị giữa trà đen, những quả vải thơm ngon và thạch vàng giòn béo, mang đến thức uống tuyệt hảo!",tra-thach-vai.png,3
21,Trà Thạch Đào,39000,Vị trà đậm đà kết hợp cùng những miếng đào thơm ngon mọng nước cùng thạch đào giòn dai. Thêm vào ít sữa để gia tăng vị béo.,tra-thach-dao.png,3
22,Trà Thanh Đào,39000,"Một trải nghiệm thú vị khác! Sự hài hòa giữa vị trà cao cấp, vị sả thanh mát và những miếng đào thơm ngon mọng nước sẽ mang đến cho bạn một thức uống tuyệt vời.",tra-thanh-dao.png,3
23,Thịt nướng,19000,"Đặc sản của Việt Nam! Bánh mì giòn với nhân thịt nướng, rau thơm và gia vị đậm đà, hòa quyện trong lớp nước sốt tuyệt hảo.",thit-nuong.png,4
24,Xíu mại,19000,"Bánh mì Việt Nam giòn thơm, với nhân thịt viên hấp dẫn, phủ thêm một lớp nước sốt cà chua ngọt, cùng với rau tươi và gia vị đậm đà.",xiu-mai.png,4
25,Gà Xé Nước Tương,19000,"Bánh mì Việt Nam giòn thơm với nhân gà xé, rau, gia vị hòa quyện cùng nước sốt đặc biệt.",ga-xe-nuoc-tuong.png,4
26,Chả lụa xá xíu,19000,"Bánh mì Việt Nam giòn thơm với chả lụa và thịt xá xíu thơm ngon, kết hợp cùng rau và gia vị, hòa quyện cùng nước sốt độc đáo.",cha-lua-xa-xiu.png,4
27,Bánh Mousse Cacao,29000,"Bánh Mousse Ca Cao, là sự kết hợp giữa ca-cao Việt Nam đậm đà cùng kem tươi.",banh-mousse-cacao.png,5
28,Bánh Sô-cô-la Highlands,29000,"Một chiếc bánh độc đáo! Sô cô la ngọt ngào và kem tươi béo ngậy, được phủ thêm một lớp sô cô la mỏng bên trên cho thêm phần hấp dẫn.",banh-socola-highlands.png,5
29,Bánh Caramel Phô Mai,29000,Ngon khó cưỡng! Bánh phô mai thơm béo được phủ bằng lớp caramel ngọt ngào,banh-caramel-pho-mai.jpg,5
30,Bánh Mousse Đào,29000,"Một sự kết hợp khéo léo giữa kem và lớp bánh mềm, được phủ lên trên vài lát đào ngon tuyệt.",banh-mousse-dao.png,5
31,Bánh Phô Mai Chanh Dây,29000,"Vị béo của phô mai cùng với vị chua của chanh dây, tạo nên chiếc bánh thơm ngon hấp dẫn!",banh-pho-mai-chanh-day.jpg,5
32,Bánh Phô Mai Trà Xanh,29000,"Một sự sáng tạo mới mẻ, kết hợp giữa trà xanh đậm đà và phô mai ít béo.",banh-pho-mai-tra-xanh.jpg,5
33,Bánh Tiramisu,19000,"Tiramisu thơm béo, làm từ ca-cao Việt Nam đậm đà, kết hợp với phô mai ít béo, vani và chút rum nhẹ nhàng.",banh-tiramisu.jpg,5
34,Bánh chuối,19000,"Bánh chuối truyền thống, sự kết hợp của 100% chuối tươi và nước cốt dừa Việt Nam.",banh-chuoi.jpg,5
35,Bánh Phô Mai Cà Phê,29000,"Làm từ cà phê truyền thống của Highlands, kết hợp với phô mai thơm ngon! Chiếc bánh phù hợp đi cùng với bất cứ món cà phê nào!",banh-pho-mai-ca-phe.jpg,5
36,Phin Inox,79000,Biểu tượng của Văn hóa cà phê Việt Nam! Dành cho những tín đồ cà phê thực thụ.,phin-inox.png,5
37,Ly sứ Mosaic,149000,"Việt Nam tươi đẹp qua góc nhìn của Highlands Coffee, được chế tác trên những mẫu ly sứ theo nghệ thuật ghép mảnh (khảm) cầu kỳ và phức tạp.",ly-su-mosaic.png,5
38,Truyền thống 200gr,47000,Cà phê truyền thống độc quyền của Highlands! Những hạt cà phê Robusta và Arabica thượng hạng trồng ở vùng cao nguyên của Việt Nam được rang và phối trộn theo công thức độc đáo tại Highlands.,truyen-thong-200gr.png,5
39,Truyền Thống 1KG,235000,Cà phê truyền thống độc quyền của Highlands! Những hạt cà phê Robusta và Arabica thượng hạng trồng ở vùng cao nguyên của Việt Nam được rang và phối trộn theo công thức độc đáo tại Highlands.,truyen-thong-1kg.png,5
